AvgCyclomaticModified,AvgCyclomatic,AvgEssential,AvgCyclomaticStrict,AvgLine,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclFunction,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountDeclMethod,CountLineBlank,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineCode,CountLine,CountSemicolon,CountStmtDecl,CountStmtExe,CountStmt,MaxCyclomaticModified,MaxCyclomatic,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomaticModified,SumCyclomatic,SumCyclomaticStrict,SumEssential,PRE-ReleaseDefects,POST-ReleaseDefects,NumberOfChanges,NumberOfCodeChurn,InvokedMethods,TryQuantity,TrySizeLOC,TrySizeSLOC,CatchQuantity,CatchSizeLOC,CatchSizeSLOC,CaughtExceptions,TotalPossibleExceptions,PercentageOfCaughtExceptions,DestructiveWrapping,NestedTry,ThorwsKitchenSink,ThrowWithinFinally,CatchandDoNothing,CatchandReturnnull,DummyHandler,IgnoringInterruptedException,CatchGeneric,ThrowsGeneric,LogandReturnNull,LogandThrowDetector
1,1,1,1,9,0,5,1,1,20,21,8,0,2,14,5,21,33,109,134,21,247,297,157,102,121,197,4,4,4,1,2,0.0850202,33,33,33,21,0,0,1,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,13,0,1,0,0,6,6,0,0,0,0,6,6,21,43,51,15,83,118,56,36,45,64,3,3,3,1,1,0.180723,8,8,8,6,0,0,1,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,8,0,5,1,0,14,15,1,0,1,0,14,15,15,57,78,15,136,165,75,51,56,92,1,1,1,1,1,0.110294,15,15,15,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,8,0,1,0,0,8,8,0,0,1,0,7,8,12,36,45,13,80,105,43,29,37,54,1,1,1,1,1,0.1625,8,8,8,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,15,1,2,0,0,6,6,0,0,0,2,4,6,12,29,49,22,81,115,46,24,41,57,3,3,3,1,1,0.271605,10,10,10,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,26,0,9,3,6,33,36,0,0,3,0,33,36,108,251,687,31,867,997,481,217,472,552,5,5,9,1,3,0.0357555,53,53,58,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,1,3,20,1,1,0,0,5,5,0,0,0,0,5,5,7,23,75,20,103,130,58,18,61,71,13,13,13,1,1,0.194175,19,19,19,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,16,0,2,0,0,16,16,1,0,0,3,13,16,41,100,155,25,242,305,147,88,123,176,3,3,3,1,1,0.103306,29,29,29,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,12,0,1,0,0,7,7,0,0,1,0,6,7,19,40,52,14,87,120,51,34,46,63,3,3,3,1,1,0.16092,9,9,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,2,29,0,1,0,0,1,1,0,0,0,0,1,1,4,14,22,16,35,55,24,12,18,27,2,2,2,1,1,0.457143,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,9,0,1,0,0,8,8,0,0,3,0,5,8,14,28,48,23,82,115,43,21,36,54,2,2,2,1,1,0.280488,10,10,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,2,15,1,1,0,2,7,7,0,0,1,0,6,7,13,51,70,29,118,160,58,44,44,77,3,3,3,1,2,0.245763,15,15,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,41,2,1,0,0,1,1,0,0,0,0,1,1,6,17,32,15,43,63,34,15,30,37,1,1,1,1,1,0.348837,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,16,0,2,0,0,3,3,2,0,0,1,2,3,11,21,35,14,55,79,37,17,32,43,1,1,1,1,1,0.254545,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,10,0,2,0,0,12,12,2,0,1,0,11,12,16,59,78,22,129,163,72,49,64,91,5,5,5,1,1,0.170543,21,21,21,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,15,0,1,0,0,1,1,0,0,0,0,1,1,3,14,11,13,22,38,15,12,9,17,1,1,1,1,0,0.590909,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,2,39,2,1,0,0,6,6,1,0,1,0,5,6,19,74,190,26,228,270,172,69,168,191,7,7,7,1,2,0.114035,15,15,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,7,4,1,0,1,1,1,0,0,0,0,1,1,3,8,2,26,11,40,5,6,1,7,1,1,1,1,0,2.36364,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,2,13,1,2,1,5,3,4,0,1,1,0,2,4,15,30,32,27,64,106,31,24,23,44,6,6,6,1,1,0.421875,11,11,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,2,2,0,2,0,0,0,2,5,8,0,20,9,34,5,6,0,6,0,0,0,0,0,2.22222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,2,14,5,17,14,11,145,157,31,25,18,3,113,159,220,524,935,1007,1602,2816,746,492,800,1151,33,33,37,14,5,0.628589,364,364,388,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,4,0,1,0,0,4,4,1,0,0,0,4,4,9,13,4,22,22,53,8,9,4,13,1,1,1,1,0,1,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,3,3,0,0,0,0,3,3,8,7,0,41,8,57,5,6,0,6,0,0,0,0,0,5.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,2,13,2,2,0,1,13,13,8,1,0,1,11,13,27,56,80,78,149,254,73,46,63,102,6,6,6,3,2,0.52349,24,24,24,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,8,3,1,1,1,6,7,3,0,1,0,6,7,14,18,22,42,48,104,24,14,20,34,3,3,3,1,1,0.875,9,9,9,7,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,3,19,0,1,0,3,9,9,0,0,6,2,1,9,31,52,118,36,171,238,76,42,72,98,7,7,17,1,5,0.210526,21,21,31,9,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,5,1,1,0,0,6,6,3,0,0,0,6,6,10,19,8,26,34,70,17,16,8,24,1,1,1,1,0,0.764706,6,6,6,6,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,2,12,1,2,1,0,2,3,3,0,0,0,3,3,11,20,17,20,40,71,20,20,17,31,5,5,6,1,2,0.5,7,7,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,14,2,1,0,3,2,2,0,0,0,0,2,2,8,15,19,25,34,67,24,12,17,28,2,2,2,1,1,0.735294,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,3,0,1,0,0,7,7,5,0,0,0,7,7,9,17,11,21,36,66,18,15,11,26,1,1,1,1,0,0.583333,7,7,7,7,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,6,1,1,1,0,9,8,5,1,0,0,9,10,14,22,24,37,54,105,25,20,23,39,3,3,3,3,2,0.685185,12,12,12,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,1,4,26,6,1,3,1,5,8,0,0,1,0,7,8,15,41,43,75,84,174,43,36,29,57,6,6,6,1,4,0.892857,12,12,12,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,2,13,2,1,0,1,42,42,17,0,17,0,25,42,64,167,308,133,526,716,250,122,258,349,13,13,16,6,4,0.252852,100,100,105,56,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,10,2,1,0,1,18,18,12,0,5,0,13,18,28,66,90,78,182,286,91,47,81,124,5,5,8,1,2,0.428571,32,32,35,18,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,4,0,1,2,1,8,8,5,1,0,0,9,10,12,19,20,29,49,90,18,16,14,30,4,4,4,4,2,0.591837,11,11,11,11,0,3,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,7,1,1,4,1,0,4,0,0,0,0,4,4,9,19,13,24,37,70,18,17,9,25,2,2,2,1,1,0.648649,6,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,3,3,0,0,0,0,3,3,6,12,0,53,13,72,8,9,0,9,0,0,0,0,0,4.07692,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,3,3,0,0,0,0,3,3,6,12,0,52,13,71,8,9,0,9,0,0,0,0,0,4,0,0,0,0,0,3,1,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,8,1,2,0,1,12,12,6,0,1,0,11,12,20,56,42,34,111,165,49,40,32,68,3,3,3,1,2,0.306306,18,18,19,12,0,11,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,7,1,2,0,1,13,13,5,0,1,1,11,13,20,57,41,34,110,164,49,41,33,69,3,3,3,1,2,0.309091,18,18,18,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,10,4,4,8,4,16,20,8,2,9,1,12,24,32,72,66,106,149,287,77,57,51,100,4,4,6,1,1,0.711409,19,19,22,13,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,2,13,0,6,0,0,11,11,4,1,0,0,10,11,14,44,78,24,136,174,53,34,53,79,4,4,4,3,2,0.176471,23,23,23,17,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,1,3,16,1,3,0,7,32,32,11,2,15,2,13,32,47,163,331,105,546,698,253,132,255,355,12,12,12,6,4,0.192308,98,98,103,45,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,9,2,4,4,10,45,49,14,0,1,7,41,49,59,136,186,192,358,608,185,123,156,264,9,9,9,3,4,0.536313,72,72,75,43,0,0,0,0,90,1,8,18,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,1,1,13,6,5,3,3,20,23,5,0,1,4,18,23,37,103,82,200,183,420,88,72,61,113,2,2,2,1,1,1.0929,22,22,22,19,0,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,11,5,3,1,1,4,5,0,0,1,0,4,5,15,26,9,60,40,115,11,14,5,18,2,2,2,1,0,1.5,5,5,5,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,4,0,2,0,0,17,17,2,0,0,2,15,17,22,44,19,25,82,129,25,25,19,44,1,1,1,1,0,0.304878,17,17,17,17,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,2,3,20,4,1,2,2,1,3,0,0,0,0,3,3,10,31,26,33,60,103,27,24,19,38,4,4,4,3,3,0.55,7,7,7,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,2,3,16,1,6,1,11,24,25,12,0,2,3,20,25,48,101,284,54,415,516,194,90,194,276,24,24,31,20,4,0.13012,76,76,83,52,0,3,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,2,10,0,2,0,1,12,12,3,0,1,0,11,12,17,64,69,23,143,182,70,50,67,100,4,4,4,3,3,0.160839,27,27,27,14,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
